                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98119,                 13.251,                  1.092,                0.01324,                0.84615,                0.04962,                0.04192,                0.95714,                 208.55,                0.93323,                0.00038,                0.00038,                0.00038
                      2,                0.91239,                  2.738,                0.97786,                0.98025,                0.65385,                0.71608,                0.52406,                 1.1655,                 4.3632,                 1.0093,             0.00077485,             0.00077485,             0.00077485
                      3,                0.91803,                 1.2404,                 1.0173,                0.30776,                0.61538,                0.33037,                0.24668,                0.80199,                 5.9086,                0.93612,              0.0011644,              0.0011644,              0.0011644
                      4,                0.94023,                 1.0101,                 1.0381,                0.60858,                0.23077,                0.22202,                0.11691,                 1.6037,                 4.4295,                 1.7496,              0.0015487,              0.0015487,              0.0015487
                      5,                 1.1448,                 1.1278,                 1.1044,                0.00025,                0.07692,                0.00011,                  4e-05,                 4.6999,                    inf,                 18.122,              0.0019277,              0.0019277,              0.0019277
                      6,                 1.0687,                  1.025,                 1.1237,                0.04202,                0.34615,                0.02571,                0.01419,                 2.2859,                 10.145,                 1.7525,               0.001934,               0.001934,               0.001934
                      7,                0.93267,                0.79784,                 1.0297,                 0.7127,                0.88462,                0.87624,                0.60304,                 1.1406,                 2.9407,                 1.0385,              0.0019208,              0.0019208,              0.0019208
                      8,                0.93323,                0.80608,                 1.0768,                 0.0158,                0.53846,                0.01075,                0.00572,                  1.418,                 80.962,                 3.2608,              0.0019076,              0.0019076,              0.0019076
                      9,                0.95651,                0.81229,                 1.1077,                0.16847,                0.57692,                0.17202,                0.12084,                0.82136,                 11.116,                 1.0039,              0.0018944,              0.0018944,              0.0018944
                     10,                0.92239,                0.71337,                 1.0474,                0.91293,                0.96154,                0.96707,                0.64075,                 1.0123,                  1.434,                 1.0405,              0.0018812,              0.0018812,              0.0018812
                     11,                0.89137,                0.67196,                   1.05,                0.75848,                0.84552,                0.82152,                0.54122,                  1.015,                 1.1001,                 1.0497,               0.001868,               0.001868,               0.001868
                     12,                0.86785,                0.63258,                 1.0185,                0.84494,                0.96154,                0.96982,                0.67005,                0.88497,                 1.2607,                0.96619,              0.0018548,              0.0018548,              0.0018548
                     13,                0.82791,                0.64402,                 1.0233,                 0.9228,                0.96154,                0.94882,                0.71872,                0.78201,                 0.5899,                0.91475,              0.0018416,              0.0018416,              0.0018416
                     14,                0.83778,                0.62031,                 1.0138,                0.88385,                0.96154,                0.96797,                0.76203,                0.72016,                 1.0216,                0.89652,              0.0018284,              0.0018284,              0.0018284
                     15,                0.84772,                0.63078,                 1.0252,                0.90644,                0.69231,                0.73564,                0.52546,                 1.9211,                 4.9694,                 2.0869,              0.0018152,              0.0018152,              0.0018152
                     16,                0.80631,                0.61254,                 1.0302,                0.92601,                0.15385,                0.17313,                0.15313,                 2.0907,                 7.7925,                 2.6293,               0.001802,               0.001802,               0.001802
                     17,                0.80271,                0.59545,                0.98775,                0.94728,                0.84615,                0.91965,                0.71003,                0.91797,                0.69161,                0.94362,              0.0017888,              0.0017888,              0.0017888
                     18,                0.83565,                0.61634,                  1.005,                0.99627,                      1,                  0.995,                0.76583,                0.99557,                0.59016,                0.93612,              0.0017756,              0.0017756,              0.0017756
                     19,                0.79318,                0.56068,                0.97912,                0.95718,                      1,                0.97796,                 0.7899,                0.80499,                0.67519,                0.90132,              0.0017624,              0.0017624,              0.0017624
                     20,                0.77319,                0.56665,                0.98179,                      1,                0.98754,                  0.995,                0.79167,                0.81129,                0.52051,                0.92205,              0.0017492,              0.0017492,              0.0017492
                     21,                0.76496,                0.54691,                0.98214,                0.98343,                      1,                  0.995,                0.80004,                0.62115,                0.47412,                0.89811,               0.001736,               0.001736,               0.001736
                     22,                0.75333,                0.53381,                0.98609,                0.96485,                0.96154,                0.99286,                0.77913,                0.66539,                0.63229,                0.89575,              0.0017228,              0.0017228,              0.0017228
                     23,                0.79239,                 0.5975,                 1.0002,                0.96234,                      1,                  0.995,                 0.7561,                0.64024,                0.47894,                0.89431,              0.0017096,              0.0017096,              0.0017096
